Postcode,Supplier,Phone,Link
BD1 1AA,Yorkshire Water,03451 242 424,https://www.yorkshirewater.com/
LS1 1UR,Yorkshire Water,03451 242 424,https://www.yorkshirewater.com/
CF10 1EP,Dwr Cymru (Welsh Water),08000 520 145,https://www.dwrcymru.com/
CH1 1AA,Severn Trent Water,03457 500 500,https://www.stwater.co.uk/
CM1 1TY,Anglian Water,03457 919 155,https://www.anglianwater.co.uk/
CV1 2AA,Severn Trent Water,03457 500 500,https://www.stwater.co.uk/
DA1 1AA,Thames Water,08009 808 800,https://www.thameswater.co.uk/
DD1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
BA1 1RG,Wessex Water,03456 003 600,https://www.wessexwater.co.uk/
SO14 0PJ,Southern Water,03303 030 277,https://www.southernwater.co.uk/
ME1 1AA,Southern Water,03303 030 277,https://www.southernwater.co.uk/
ML1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
NG1 1AA,Severn Trent Water,03457 500 500,https://www.stwater.co.uk/
NR1 1AA,Anglian Water,03457 919 155,https://www.anglianwater.co.uk/
PA1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
PH1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
PL1 1AA,Not Found,Not Found,Not Found
PO1 1AA,Portsmouth Water,02392 499 666,https://www.portsmouthwater.co.uk/
SA1 1AA,Dwr Cymru (Welsh Water),08000 520 145,https://www.dwrcymru.com/
SE1 1AA,Thames Water,08009 808 800,https://www.thameswater.co.uk/
SG1 1AA,Affinity Water,03453 572 401,https://www.affinitywater.co.uk/
SN1 1AA,Thames Water,08009 808 800,https://www.thameswater.co.uk/
TD1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
SP1 1AA,Wessex Water,03456 003 600,https://www.wessexwater.co.uk/
SR1 1AA,Not Found,Not Found,Not Found
SS1 1AA,Essex &amp; Suffolk Water,03457 820 111,https://www.eswater.co.uk/
SW1A 1AA,Thames Water,08009 808 800,https://www.thameswater.co.uk/
TA1 1LU,Not Found,Not Found,Not Found
TW1 1AA,Thames Water,08009 808 800,https://www.thameswater.co.uk/
TR1 2AA,South West Water,03443 461 010,https://www.southwestwater.co.uk/
TS1 1AA,Northumbrian Water,03457 335 566,https://www.nwl.co.uk/
YO1 1XX,Not Found,Not Found,Not Found
W1A 1AA,Thames Water,08009 808 800,https://www.thameswater.co.uk/
HU1 1AA,Yorkshire Water,03451 242 424,https://www.yorkshirewater.com/
EH1 1BB,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
EX1 1AJ,South West Water,03443 461 010,https://www.southwestwater.co.uk/
FK1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
FY1 1AA,Not Found,Not Found,Not Found
GL1 1AA,Not Found,Not Found,Not Found
GY1 1AA,Not Found,Not Found,Not Found
HR1 1AA,Dwr Cymru (Welsh Water),08000 520 145,https://www.dwrcymru.com/
HS1 2DD,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
ZE1 0AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
LA1 1AA,United Utilities,03456722999,https://www.unitedutilities.com/
IM1 1AF,Not Found,Not Found,Not Found
IV1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
KA1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
KY1 1AA,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
LE1 1AA,Severn Trent Water,03457 500 500,https://www.stwater.co.uk/
LD1 6AB,Dwr Cymru (Welsh Water),08000 520 145,https://www.dwrcymru.com/
LL1 1AA,Not Found,Not Found,Not Found
LN1 1XX,Anglian Water,03457 919 155,https://www.anglianwater.co.uk/
AB10 1XG,Scottish Water,08000 778 778,https://www.scottishwater.co.uk/
BS1 3XX,Bristol Water,03456 003 600,https://www.bristolwater.co.uk/
DN1 1AA,Not Found,Not Found,Not Found
';Æ
